,Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region,market
186,2015-01-11,1.16,113235.82,45706.36,37629.54,57.82,29842.1,26555.99,3286.11,0.0,0,34,2
187,2015-01-11,1.47,5128.06,82.94,4065.47,0.0,979.65,806.48,173.17,0.0,1,34,2
188,2015-01-11,1.09,429492.28,109368.41,271300.08,5094.23,43729.56,43722.89,6.67,0.0,0,35,6
189,2015-01-11,1.27,7598.26,4243.14,3033.84,0.0,321.28,321.28,0.0,0.0,1,35,6
190,2015-01-11,0.82,544667.18,303369.02,192913.11,12900.65,35484.4,31807.96,3271.85,404.59,0,36,6
191,2015-01-11,1.05,20089.52,18294.44,767.68,1.44,1025.96,1025.96,0.0,0.0,1,36,6
192,2015-01-11,1.03,916450.76,155455.32,670522.75,4107.26,86365.43,85706.54,658.89,0.0,0,37,6
193,2015-01-11,1.12,29676.78,17907.49,11586.46,0.0,182.83,182.83,0.0,0.0,1,37,6
194,2015-01-11,1.06,527350.82,144349.43,278069.43,18076.48,86855.48,81221.3,5632.65,1.53,0,38,3
195,2015-01-11,1.46,46687.01,8691.73,33361.78,13.48,4620.02,223.33,4396.69,0.0,1,38,3
196,2015-01-11,1.1,279706.73,162428.39,39713.75,14197.05,63367.54,44864.96,18502.58,0.0,0,39,1
197,2015-01-11,2.06,2304.3,474.97,793.53,357.87,677.93,674.61,3.32,0.0,1,39,1
202,2015-01-11,1.07,70697.07,21973.57,35996.7,4131.75,8595.05,6899.1,1695.95,0.0,0,40,3
203,2015-01-11,1.38,4780.87,1159.37,3192.62,1.83,427.05,140.0,287.05,0.0,1,40,3
204,2015-01-11,1.29,164917.61,79292.59,41050.38,62.72,44511.92,44509.7,2.22,0.0,0,41,7
205,2015-01-11,1.84,3762.18,1908.7,1590.15,0.0,263.33,263.33,0.0,0.0,1,41,7
206,2015-01-11,1.45,42017.49,984.29,21576.29,14.93,19441.98,19441.98,0.0,0.0,0,42,0
207,2015-01-11,1.66,762.15,1.24,195.51,0.0,565.4,565.4,0.0,0.0,1,42,0
208,2015-01-11,1.24,235231.08,142237.71,36017.93,56.25,56919.19,19605.39,37313.8,0.0,0,43,1
209,2015-01-11,1.84,1258.62,814.13,44.49,0.0,400.0,400.0,0.0,0.0,1,43,1
214,2015-01-11,0.92,584896.99,347125.63,129717.42,27944.07,80109.87,78503.46,1606.41,0.0,0,44,3
215,2015-01-11,1.69,6861.73,1822.28,2377.54,0.0,2661.91,2656.66,5.25,0.0,1,44,3
216,2015-01-18,1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0.0,0,0,0
217,2015-01-18,1.93,1118.47,8.02,178.78,0.0,931.67,931.67,0.0,0.0,1,0,0
218,2015-01-18,1.11,431490.99,372236.92,18701.9,511.69,40040.48,16782.71,23257.77,0.0,0,1,1
219,2015-01-18,1.86,4294.01,2138.51,989.4,0.0,1166.1,1019.34,146.76,0.0,1,1,1
220,2015-01-18,1.23,657741.34,49947.16,393359.6,40576.08,173858.5,169390.88,4467.62,0.0,0,2,2
221,2015-01-18,1.41,14057.45,8148.89,4725.43,659.56,523.57,461.75,61.82,0.0,1,2,2
222,2015-01-18,1.08,62870.49,50354.95,6342.37,2257.23,3915.94,1119.18,2796.76,0.0,0,3,3
223,2015-01-18,1.44,2973.94,8.83,2513.36,0.0,451.75,143.33,308.42,0.0,1,3,3
224,2015-01-18,1.23,401331.33,4383.76,287778.52,132.53,109036.52,108668.74,367.78,0.0,0,4,0
225,2015-01-18,2.0,2209.34,4.22,834.34,0.0,1370.78,1370.78,0.0,0.0,1,4,0
226,2015-01-18,1.52,107040.29,1625.26,61859.85,133.29,43421.89,43419.67,2.22,0.0,0,5,0
227,2015-01-18,1.64,1426.87,91.85,137.49,0.0,1197.53,1197.53,0.0,0.0,1,5,0
230,2015-01-18,1.25,152671.15,26462.87,40475.81,38677.39,47055.08,33996.73,13058.35,0.0,0,6,2
231,2015-01-18,2.15,2697.81,346.76,744.32,766.41,840.32,840.32,0.0,0.0,1,6,2
232,2015-01-18,1.14,797741.43,24917.77,533717.99,140239.95,98865.72,95516.44,3311.71,37.57,0,7,4
233,2015-01-18,1.81,12499.87,1154.81,10830.61,0.0,514.45,514.45,0.0,0.0,1,7,4
234,2015-01-18,0.93,175681.09,3333.29,128858.15,1086.61,42403.04,24024.17,18264.75,114.12,0,8,4
235,2015-01-18,1.37,10051.4,282.08,9374.23,0.0,395.09,351.87,43.22,0.0,1,8,4
236,2015-01-18,1.02,116450.21,55532.76,26458.99,7040.95,27417.51,24386.64,2962.41,68.46,0,9,4
237,2015-01-18,1.84,4027.45,279.22,2959.75,0.0,788.48,213.33,575.15,0.0,1,9,4
238,2015-01-18,0.76,1091677.29,627090.61,374230.89,15550.56,74805.23,62375.69,12416.71,12.83,0,10,5
239,2015-01-18,1.28,12634.71,7556.77,871.27,0.0,4206.67,4206.67,0.0,0.0,1,10,5
240,2015-01-18,0.99,808194.41,151976.7,500683.5,4225.31,151308.9,77528.06,73764.68,16.16,0,11,3
241,2015-01-18,1.1,42234.91,5475.13,32538.95,42.01,4178.82,992.64,3186.18,0.0,1,11,3
242,2015-01-18,1.1,291788.43,113616.86,45446.17,37740.18,94985.22,92319.38,1066.01,1599.83,0,12,4
243,2015-01-18,1.9,7656.72,376.08,6430.19,0.0,850.45,446.67,403.78,0.0,1,12,4
244,2015-01-18,1.07,150201.39,970.13,78433.37,6411.99,64385.9,60381.95,3727.81,276.14,0,13,4
245,2015-01-18,1.88,706.15,20.71,488.77,0.0,196.67,196.67,0.0,0.0,1,13,4
248,2015-01-18,1.24,182604.68,30928.18,85410.46,535.87,65730.17,64180.88,1549.29,0.0,0,14,0
249,2015-01-18,1.94,1355.5,50.54,127.76,8.74,1168.46,1168.46,0.0,0.0,1,14,0
250,2015-01-18,1.39,229216.05,3347.41,160683.8,286.52,64898.32,62671.58,2226.74,0.0,0,15,0
251,2015-01-18,2.35,2552.09,39.56,2233.79,12.07,266.67,266.67,0.0,0.0,1,15,0
252,2015-01-18,0.77,1017854.16,458532.19,429687.47,9353.74,120280.76,107320.39,12960.37,0.0,0,16,5
253,2015-01-18,1.2,9979.64,8538.96,690.68,0.0,750.0,750.0,0.0,0.0,1,16,5
254,2015-01-18,1.14,149319.82,2910.77,103890.9,2048.78,40469.37,22405.47,17913.92,149.98,0,17,4
255,2015-01-18,1.96,1083.8,45.28,925.94,0.0,112.58,105.03,7.55,0.0,1,17,4
256,2015-01-18,1.27,99496.16,57479.2,16442.71,513.69,25060.56,14684.19,10376.37,0.0,0,18,1
257,2015-01-18,1.82,1403.1,846.65,55.27,1.18,500.0,500.0,0.0,0.0,1,18,1
258,2015-01-18,1.06,233186.09,100191.96,94930.69,4887.89,33175.55,32897.59,277.96,0.0,0,19,3
259,2015-01-18,1.63,6032.31,3449.94,1769.04,0.0,813.33,813.33,0.0,0.0,1,19,3
260,2015-01-18,0.89,2800679.5,1925013.31,526106.8,59364.23,290195.16,260857.96,26671.18,2666.02,0,20,6
261,2015-01-18,1.29,43649.12,33738.87,1368.91,0.0,8541.34,8541.34,0.0,0.0,1,20,6
262,2015-01-18,1.06,85580.15,2250.1,63826.82,426.73,19076.5,10228.66,8804.67,43.17,0,21,2
263,2015-01-18,1.79,1106.86,5.19,676.38,0.0,425.29,420.0,5.29,0.0,1,21,2
264,2015-01-18,1.3,405138.19,285204.29,42798.99,42.64,77092.27,41312.0,35780.27,0.0,0,22,1
265,2015-01-18,1.87,1459.37,1054.78,17.92,0.0,386.67,386.67,0.0,0.0,1,22,1
268,2015-01-18,1.08,143464.64,97216.47,8423.57,12187.72,25636.88,23520.54,2116.34,0.0,0,23,2
269,2015-01-18,1.81,3118.58,188.44,1951.63,86.02,892.49,773.33,119.16,0.0,1,23,2
270,2015-01-18,1.03,267666.12,179991.12,23263.42,213.64,64197.94,61302.5,2895.44,0.0,0,24,5
271,2015-01-18,0.98,4739.17,256.53,2.64,0.0,4480.0,4480.0,0.0,0.0,1,24,5
272,2015-01-18,1.37,1044280.56,18945.56,749309.2,3039.37,272986.43,211934.06,61052.37,0.0,0,25,0
273,2015-01-18,2.08,9204.78,692.88,7146.78,37.93,1327.19,1327.19,0.0,0.0,1,25,0
276,2015-01-18,1.12,309202.71,3012.79,241380.95,38.05,64770.92,64770.92,0.0,0.0,0,26,0
277,2015-01-18,1.88,7618.91,0.0,569.28,0.0,7049.63,7049.63,0.0,0.0,1,26,0
278,2015-01-18,1.33,191078.37,112722.12,34703.28,83.8,43569.17,18914.84,24654.33,0.0,0,27,1
279,2015-01-18,1.79,2151.76,1237.16,31.27,0.0,883.33,883.33,0.0,0.0,1,27,1
280,2015-01-18,1.4,331495.41,15116.27,209523.15,1469.44,105386.55,93250.96,12135.59,0.0,0,28,0
281,2015-01-18,1.93,1699.0,258.85,731.44,19.58,689.13,689.13,0.0,0.0,1,28,0
282,2015-01-18,0.67,1088608.66,811662.62,200514.36,5643.07,70788.61,70788.61,0.0,0.0,0,29,3
283,2015-01-18,1.36,12251.87,10248.57,1529.97,0.0,473.33,473.33,0.0,0.0,1,29,3
284,2015-01-18,1.47,59312.07,2147.08,36730.4,1075.26,19359.33,12321.55,7037.78,0.0,0,30,0
285,2015-01-18,1.55,3448.42,312.68,709.27,0.0,2426.47,257.86,2168.61,0.0,1,30,0
288,2015-01-18,1.11,439617.61,155745.95,220991.54,14692.73,48187.39,34402.17,13785.22,0.0,0,31,3
289,2015-01-18,1.24,51904.44,11894.56,30078.32,4.7,9926.86,303.33,9623.53,0.0,1,31,3
290,2015-01-18,1.22,204504.99,48613.54,55881.05,39543.93,60466.47,46298.95,14167.52,0.0,0,32,2
291,2015-01-18,1.97,3496.27,78.13,1775.25,628.28,1014.61,925.39,89.22,0.0,1,32,2
292,2015-01-18,1.18,179038.39,54459.4,66963.59,9958.28,47657.12,36798.65,10858.47,0.0,0,33,2
293,2015-01-18,1.62,3480.66,120.23,2152.16,363.06,845.21,583.33,261.88,0.0,1,33,2
294,2015-01-18,1.18,112106.05,44676.56,37854.42,117.98,29457.09,25952.51,3504.58,0.0,0,34,2
